id, version, date, weathercitycode, weathertype, high, low, wind, icon, isnight, issuetime
"402881e722964d2c012296549c60009e","0","2009-07-23","54878","40% Chance Rain Shower","35","24"," S 14km/h","cond109.gif","false","12:00"
"402881e722964d2c012296549c60009f","0","2009-07-24","54878","50% Chance of Rain","28","23"," NE 19km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c6000a0","0","2009-07-25","54878","Very Hot","32","23"," NE 14km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c6000a1","0","2009-07-26","54878","Rain","24","19"," ESE 14km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c6000a2","0","2009-07-20","54896","40% Chance of Storms","24","18"," WSW 23km/h","cond094.gif","false","12:00"
"402881e722964d2c012296549c6000a3","0","2009-07-21","54896","50% Chance of Rain","22","17"," NW 26km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c6000a4","0","2009-07-22","54896","Mostly Cloudy","22","16"," N 18km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c6000a5","0","2009-07-23","54896","Mostly Cloudy","23","16"," ENE 14km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c6000a6","0","2009-07-24","54896","Partly Cloudy","24","17"," ENE 18km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000a7","0","2009-07-25","54896","Mostly Cloudy","24","18"," NE 14km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c6000a8","0","2009-07-26","54896","Mostly Cloudy","28","19"," E 10km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c6000a9","0","2009-07-20","54897","Hot and Humid","34","28"," SSW 27km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000aa","0","2009-07-21","54897","Hot and Humid","36","29"," SW 23km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000ab","0","2009-07-22","54897","Hot and Humid","37","29"," SW 27km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000ac","0","2009-07-23","54897","Hot and Humid","38","29"," SW 27km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000ad","0","2009-07-24","54897","Very Hot","35","30"," SW 23km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c6000ae","0","2009-07-25","54897","40% Chance Rain Shower","29","28"," NW 14km/h","cond109.gif","false","12:00"
"402881e722964d2c012296549c6000af","0","2009-07-26","54897","Hot and Humid","38","27"," W 13km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c6000b0","0","2009-07-20","54898","Partly Cloudy","22","8"," SW 18km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000b1","0","2009-07-21","54898","Partly Cloudy","22","7"," SSW 16km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000b2","0","2009-07-22","54898","Mostly Cloudy","22","5"," SW 23km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c6000b3","0","2009-07-23","54898","Partly Cloudy","17","4"," W 24km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000b4","0","2009-07-24","54898","Partly Cloudy","19","5"," WSW 19km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000b5","0","2009-07-25","54898","Partly Cloudy","17","5"," WSW 21km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c6000b6","0","2009-07-26","54898","Cloudy","21","9"," WNW 21km/h","cond001.gif","false","12:00"
"402881e722964d2c012296549c6000b7","0","2009-07-20","54901","Sunny","30","20"," N 10km/h","cond007.gif","false","12:00"
"402881e722964d2c012296549c6000b8","0","2009-07-21","54901","Very Hot","34","21"," NNE 10km/h","cond065.gif","false","12:00"
